_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
100.24946700	+09.82580900	100.249467	+09.825809	06405987+0949329	14.527	0.036	13.954	0.036	13.698	0.050	AAA	222	111	sss	0	0
100.25809900	+09.83438400	100.258099	+09.834384	06410194+0950037	14.314	0.029	13.741	0.035	13.507	0.043	AAA	222	111	000	0	0
100.22178600	+09.82882800	100.221786	+09.828828	06405322+0949437	15.510	0.072	14.845	0.075	14.445	0.102	AAA	222	111	000	0	0
100.22201700	+09.83324200	100.222017	+09.833242	06405328+0949596	16.938	0.225	15.830	0.134	14.817	0.129	DBB	222	111	000	0	0
100.23760700	+09.84274300	100.237607	+09.842743	06405702+0950338	16.216	0.115	14.784	0.051	14.253	0.092	BAA	222	111	000	0	0
100.22876900	+09.83675400	100.228769	+09.836754	06405490+0950123	14.011	0.026	13.420	0.033	13.210	0.034	AAA	222	111	000	0	0
100.22991300	+09.84717600	100.229913	+09.847176	06405517+0950498	13.074	0.024	12.424	0.026	12.230	0.027	AAA	222	111	000	0	0
100.24101800	+09.85248700	100.241018	+09.852487	06405784+0951089	13.149	0.033	12.299	0.036	11.935	0.037	AAA	222	111	000	0	0
100.22995300	+09.84023100	100.229953	+09.840231	06405518+0950248	16.272	0.123	14.475	0.039	13.441	0.042	BAA	222	111	000	0	0
100.23667100	+09.84892300	100.236671	+09.848923	06405680+0950561	15.153	0.050	14.568	0.041	14.144	0.061	AAA	222	111	000	0	0
100.24210600	+09.85374200	100.242106	+09.853742	06405810+0951134	13.869	0.028	13.197	0.039	12.938	0.037	AAA	222	111	000	0	0
100.24076100	+09.84793400	100.240761	+09.847934	06405778+0950525	17.259	0.251	15.526	0.108	15.297	0.209	DAC	222	111	000	0	0
100.24483200	+09.83036800	100.244832	+09.830368	06405875+0949493	16.653	0.152	15.916	0.141	15.322	0.211	CBC	222	111	000	0	0
100.18601700	+09.84544500	100.186017	+09.845445	06404464+0950436	15.815	0.075	14.977	0.076	14.392	0.105	AAA	222	111	000	0	0
100.18189900	+09.84236100	100.181899	+09.842361	06404365+0950324	14.058	0.032	12.991	0.029	12.645	0.031	AAA	222	111	000	0	0
100.20005300	+09.85421200	100.200053	+09.854212	06404801+0951151	15.625	0.075	15.166	0.080	14.902	0.146	AAB	222	111	000	0	0
