_RAJ2000 _DEJ2000 2MASS Jmag Hmag Kmag
100.249467 9.825809 06405987+0949329 14.527 13.954 13.698
100.258099 9.834384 06410194+0950037 14.314 13.741 13.507
100.221786 9.828828 06405322+0949437 15.51 14.845 14.445
100.222017 9.833242 06405328+0949596 16.938 15.83 14.817
100.237607 9.842743 06405702+0950338 16.216 14.784 14.253
100.228769 9.836754 06405490+0950123 14.011 13.42 13.210
100.229913 9.847176 06405517+0950498 13.074 12.424 12.230
100.241018 9.852487 06405784+0951089 13.149 12.299 11.935
100.229953 9.840231 06405518+0950248 16.272 14.475 13.441
100.236671 9.848923 06405680+0950561 15.153 14.568 14.144
100.242106 9.853742 06405810+0951134 13.869 13.197 12.938
100.240761 9.847934 06405778+0950525 17.259 15.526 15.297
100.244832 9.830368 06405875+0949493 16.653 15.916 15.322
100.186017 9.845445 06404464+0950436 15.815 14.977 14.392
100.181899 9.842361 06404365+0950324 14.058 12.991 12.645
100.200053 9.854212 06404801+0951151 15.625 15.166 14.902
100.209778 9.844196 06405034+0950391 15.372 14.836 14.410
100.199928 9.840556 06404798+0950260 14.016 13.217 12.828
100.211512 9.840371 06405076+0950253 12.22 10.895 10.222
100.228176 9.861145 06405476+0951401 17.188 15.747 15.046
100.214518 9.86548 06405148+0951557 15.261 15.025 14.465
100.218973 9.868331 06405255+0952059 12.689 11.97 11.724
100.229253 9.85702 06405502+0951252 15.775 14.58 13.925
100.214843 9.857639 06405156+0951275 15.253 14.163 13.613
100.2148 9.863736 06405155+0951494 9.376 9.47 9.429
100.232791 9.858468 06405586+0951304 13.862 13.154 12.924
100.212042 9.871216 06405089+0952163 16.174 15.307 14.940
100.213079 9.843869 06405113+0950379 14.514 13.844 13.325
100.232154 9.853848 06405571+0951138 12.872 12.197 12.012
100.214098 9.867016 06405138+0952012 15.265 14.367 13.776
100.221495 9.847253 06405315+0950501 15.033 14.425 14.145
100.222909 9.857848 06405349+0951282 16.751 16.07 15.246
100.224793 9.849459 06405395+0950580 14.273 13.607 13.458
100.217002 9.870508 06405208+0952138 13.095 12.395 12.213
100.208297 9.853535 06404999+0951127 14.878 14.237 13.938
100.203698 9.86234 06404888+0951444 9.521 9.129 8.477
100.225966 9.848278 06405423+0950538 12.562 11.91 11.717
100.21892 9.849592 06405254+0950585 14.19 13.452 13.234
100.217514 9.875322 06405220+0952311 13.733 12.987 12.741
100.164404 9.856074 06403945+0951218 16.372 15.026 14.609
100.166721 9.851304 06404001+0951046 12.881 11.585 11.079
100.168491 9.850695 06404043+0951025 14.016 13.326 13.067
100.160945 9.856821 06403862+0951245 16.372 15.545 15.140
100.174356 9.862365 06404184+0951445 12.753 11.853 10.978
100.175131 9.851321 06404203+0951047 15.528 14.606 14.204
100.158761 9.859961 06403810+0951358 15.64 15.014 14.697
100.180629 9.849875 06404335+0950595 12.568 11.953 11.725
100.175134 9.865383 06404203+0951553 16.938 16.003 15.457
100.172156 9.850659 06404131+0951023 12.806 12.024 11.713
100.192595 9.861147 06404622+0951401 14.432 13.743 13.295
100.18974 9.856413 06404553+0951230 12.007 10.835 10.367
100.187769 9.857693 06404506+0951276 14.147 13.496 13.233
100.207176 9.873407 06404972+0952242 14.188 13.408 13.099
100.208681 9.87431 06405008+0952275 13.572 13.007 12.660
100.206668 9.871493 06404960+0952173 15.156 14.468 14.184
100.19093 9.869613 06404582+0952106 15.843 14.559 14.278
100.211717 9.882655 06405081+0952575 15.184 14.464 13.956
100.211923 9.877719 06405086+0952397 15.122 14.492 14.094
100.209103 9.879705 06405018+0952469 15.36 14.399 14.088
100.205683 9.881663 06404936+0952539 15.834 14.135 12.718
100.195638 9.877944 06404695+0952405 14.749 14.057 13.413
100.19616 9.891911 06404707+0953308 15.652 15.059 14.763
100.196711 9.885884 06404721+0953091 14.607 13.909 13.769
100.207287 9.882954 06404974+0952586 14.204 13.56 13.334
100.27071 9.846135 06410497+0950460 12.244 11.539 11.090
100.271274 9.841735 06410510+0950302 15.152 14.579 14.359
100.28401 9.852748 06410816+0951098 15.426 13.226 12.088
100.284273 9.837923 06410822+0950165 17.317 0.175 0.152
100.280365 9.832395 06410728+0949566 13.653 12.983 12.756
100.278703 9.848362 06410688+0950541 15.847 15.102 14.678
100.305437 9.865122 06411330+0951544 13.996 13.334 13.075
100.29461 9.849707 06411070+0950589 16.008 14.654 14.096
100.289528 9.863905 06410948+0951500 12.338 11.634 11.407
100.317281 9.864034 06411614+0951505 15.176 13.754 13.065
100.312881 9.854978 06411509+0951179 15.487 15.047 15.016
100.319841 9.863306 06411676+0951479 16.439 16.432 15.199
100.320648 9.856242 06411695+0951224 16.81 15.255 14.461
100.326642 9.859035 06411839+0951325 15.035 13.482 12.810
100.302407 9.87533 06411257+0952311 11.494 10.686 10.205
100.24931 9.86359 06405983+0951489 13.458 12.777 12.612
100.249628 9.860715 06405991+0951385 18.139 0.124 0.130
100.246361 9.864723 06405912+0951530 14.686 14.17 13.851
100.244522 9.855434 06405868+0951195 16.745 16.225 15.463
100.27125 9.862385 06410510+0951445 12.744 12.128 11.979
100.26021 9.873611 06410245+0952249 14.167 13.516 13.274
100.260871 9.850731 06410260+0951026 14.203 13.658 13.375
100.261122 9.842475 06410266+0950329 15.189 14.632 14.284
100.259327 9.862678 06410223+0951456 14.638 14.116 13.781
100.262956 9.87187 06410310+0952187 16.954 15.869 15.009
100.259186 9.864431 06410220+0951519 11.202 10.775 10.618
100.253245 9.856203 06410077+0951223 12.191 11.596 11.404
100.268719 9.870214 06410449+0952127 14.938 14.382 14.167
100.267408 9.867225 06410417+0952020 12.772 12.149 11.946
100.268495 9.857247 06410443+0951260 12.488 11.881 11.713
100.253373 9.868767 06410080+0952075 14.031 13.119 12.632
100.256886 9.870545 06410165+0952139 17.088 15.973 15.357
100.268369 9.863919 06410440+0951501 10.737 10.3 10.145
100.260495 9.876031 06410251+0952337 16.834 15.185 14.536
100.295928 9.87486 06411102+0952294 12.881 11.108 10.241
100.274304 9.87071 06410583+0952145 16.674 15.348 14.654
100.270132 9.873735 06410483+0952254 15.115 14.51 14.281
100.288316 9.865866 06410919+0951571 15.233 14.497 14.152
100.290332 9.886699 06410967+0953121 14.797 12.771 11.788
100.288322 9.883761 06410919+0953015 13.628 12.953 12.710
100.286898 9.883647 06410885+0953011 14.066 13.228 12.764
100.274215 9.879963 06410581+0952478 12.994 12.292 12.066
100.29325 9.883849 06411038+0953018 9.877 9.868 9.808
100.293003 9.886024 06411032+0953096 15.055 14.66 UUD
100.296827 9.882133 06411123+0952556 10.167 10.221 10.225
100.30343 9.878714 06411282+0952433 12.912 12.262 12.089
100.318831 9.870331 06411651+0952131 11.676 11.422 11.364
100.334572 9.874598 06412029+0952285 15.53 14.716 14.235
100.311909 9.876206 06411485+0952343 16.772 15.931 15.477
100.339495 9.883779 06412147+0953016 15.987 15.378 15.185
100.326424 9.881126 06411834+0952520 17.042 15.243 14.741
100.32467 9.881718 06411792+0952541 14.585 13.221 12.581
100.321247 9.877923 06411709+0952405 14.065 13.348 13.211
100.354194 9.906993 06412500+0954251 17.086 15.702 15.052
100.348103 9.912687 06412354+0954456 16.933 15.785 15.703
100.344288 9.897101 06412262+0953495 13.607 13.013 12.797
100.342252 9.889488 06412214+0953221 16.514 15.507 14.847
100.343893 9.899773 06412253+0953591 16.727 16.27 15.389
100.33793 9.89116 06412110+0953281 14.085 13.542 13.278
