OBJECT_ID,2MASS,_RAJ2000,_DEJ2000,Jmag,Hmag,Kmag
3326906582588481536,06403010+0957170,100.125458,9.954747,16.521,15.349,14.878
3326930045995661824,06403037+0957371,100.126564,9.960331,16.256,15.604,15.105
3326930045995672704,06403079+0957595,100.128325,9.966536,15.777,15.105,15.015
3326906372140643712,06403170+0956217,100.132101,9.939377,16.662,15.419,14.918
3326930080355421824,06403195+0958223,100.133126,9.972869,14.547,14.125,14.090
3326906273350840192,06403215+0955514,100.133975,9.930969,16.411,15.624,15.668
3326929839837223552,06403219+0957220,100.134153,9.95613,14.751,14.033,13.757
3326930080355415168,06403231+0958104,100.134648,9.96958,16.094,15.279,14.838
3326930050289781504,06403248+0957424,100.135367,9.961788,15.63,15.079,14.683
3326930252154139904,06403260+0959164,100.135841,9.987916,16.386,16.061,15.406
3326906303416703232,06403328+0955372,100.138673,9.927005,13.284,12.056,11.551
3326930153370297088,06403332+0958529,100.138858,9.981377,13.616,12.888,12.706
3326929839837216640,06403346+0957026,100.139432,9.95073,14.692,14.083,13.814
3326929839837220352,06403350+0957141,100.13961,9.953924,15.117,14.607,14.210
3326906303416421120,06403406+0956330,100.141932,9.942507,15.209,14.457,14.143
3326930252154140800,06403410+0959162,100.142102,9.987849,15.738,15.117,15.142
3326905345637907840,06403426+0953561,100.142786,9.898926,13.449,12.56,12.083
3326906307710574208,06403430+0956229,100.142919,9.939696,15.202,14.783,14.194
3326930252159281280,06403436+0959420,100.143192,9.995007,16.208,15.666,14.791
3326905341348531840,06403445+0953533,100.143564,9.898162,13.162,12.228,11.701
3326905135190103296,06403454+0953197,100.143932,9.888824,15.363,13.883,13.201
3326930183434655360,06403472+0958595,100.144671,9.983221,16.266,15.48,15.046
3326930252154155520,06403472+0959467,100.144684,9.996307,14.289,13.711,13.388
3326929878492392064,06403476+0957422,100.144837,9.96174,13.603,13.049,12.923
3326933241451412992,06403476+1000235,100.144863,10.006537,15.736,15.038,14.793
3326905345639200512,06403489+0954071,100.145386,9.901996,13.74,13.051,12.813
3326930252154150912,06403497+0959353,100.145736,9.993165,16.597,15.928,15.937
3326929771117729024,06403550+0956365,100.147925,9.943473,14.866,14.326,13.842
3326906303421220480,06403559+0956087,100.148313,9.935767,16.768,15.653,15.281
3326929874201879168,06403594+0957410,100.149758,9.961409,16.564,15.531,15.474
3326905444427772672,06403634+0954271,100.151433,9.907545,16.595,14.921,13.647
3326905547502453760,06403646+0955201,100.151929,9.922261,15.724,14.888,14.603
3326930187728722816,06403650+0958256,100.15209,9.9738,16.566,16.101,15.363
3326905551797629184,06403654+0955507,100.152254,9.930756,15.02,14.524,14.304
3326905036401556480,06403665+0952032,100.152745,9.867564,12.733,11.759,11.101
3326930290809247104,06403690+1000179,100.153785,10.004978,16.148,15.478,15.365
3326933623703867904,06403696+1001031,100.154004,10.017545,15.044,14.776,14.457
3326905547502160640,06403716+0955529,100.154855,9.931375,14.611,14.116,13.830
3326905135185229824,06403720+0953102,100.155041,9.886186,14.061,13.018,12.385
3326929878492391168,06403728+0957380,100.155342,9.960575,14.61,13.981,13.740
3326929977276485248,06403741+0958348,100.155884,9.976353,16.33,15.709,15.547
3326905547502149760,06403746+0955212,100.156094,9.922578,13.532,12.811,12.655
3326905478782410368,06403749+0954578,100.156222,9.916072,10.53,10.216,10.139
3326905478787525504,06403756+0954420,100.15652,9.91168,16.665,15.768,15.209
3326929878492390272,06403768+0957489,100.157018,9.963611,13.71,13.249,13.002
3326929874201879424,06403789+0957514,100.15789,9.964294,14.719,14.377,13.998
3326717359215215872,06403810+0951358,100.158761,9.859961,15.64,15.014,14.697
3326933623702545408,06403810+1001152,100.158778,10.020889,16.234,15.925,16.299
3326905238264899584,06403818+0954116,100.159096,9.90323,15.45,14.368,13.777
3326929977276527360,06403820+0958089,100.159193,9.969149,16.331,15.329,15.213
3326929019499472512,06403841+0956042,100.160064,9.934516,16.966,15.914,15.268
3326929874196650496,06403842+0957454,100.160095,9.962638,7.858,7.403,7.331
3326717363507926656,06403862+0951245,100.160945,9.856821,16.372,15.545,15.140
3326929805477482624,06403868+0957149,100.161199,9.954152,15.83,15.306,15.211
3326930222088455040,06403880+0959122,100.161676,9.986735,16.706,15.742,15.018
3326930222089771520,06403928+0959219,100.163679,9.989438,13.316,12.857,12.600
3326929977276481536,06403941+0958173,100.164248,9.971496,16.73,15.904,15.379
3326717359219485056,06403945+0951218,100.164404,9.856074,16.372,15.026,14.609
3326929015203768960,06403971+0955554,100.165472,9.932065,16.91,15.895,14.798
